Project Name,Description
"Pre-employment check- El Hadjira, Algeria","Pre-employment check- El Hadjira, Algeria

                                                        I am in need of a freelancer who can assist me with conducting
                                                        employment history verifications. Specifically, I require the
                                                        verification of the candidate's previous institute.

                                                        Skills and Experience:
                                                        - Previous experience in conducting employment history
                                                        verifications
                                                        - Familiarity with the process of contacting previous employers
                                                        and verifying the provided information
                                                        - Attention to detail to ensure accurate and thorough
                                                        verification

                                                        Timeframe:
                                                        - The completion of this check is required within a week.

                                                        If you have the necessary skills and experience in conducting
                                                        employment history verifications and can meet the specified
                                                        timeframe, please submit your proposal."
"Pre-Employment Vetting [Atyrau, Kazakhstan]","Pre-Employment Vetting Project

                                                        I am seeking a freelancer who can assist me with pre-employment
                                                        vetting in Atyrau, Kazakhstan. The ideal candidate for this
                                                        project will have experience in conducting background checks for
                                                        potential employees.

                                                        Screening Requirements:

                                                        - Standard level of screening is required for potential
                                                        employees

                                                        Additional Background Checks:

                                                        - Education and Employment Verification checks are required

                                                        Urgency:

                                                        - The vetting process should be completed within 2-3 days

                                                        Skills and Experience:

                                                        - Experience in conducting background checks for potential
                                                        employees

                                                        - Strong attention to detail and accuracy in conducting
                                                        background checks

                                                        Anyone from any educational background can apply."
Danish Recording Project,"Danish Recording Project
                                                        5Male and 5Female need for this project.

                                                        We have a project, that needs Native Danish speakers, we will
                                                        give you the text, and you need to record 50 short sentences.
                                                        you just need to download our software, to read our text and
                                                        record it, it's a very easy job.

                                                        1. You will need to record in a quiet place without loud
                                                        background noise. and without echo.
                                                        2. Each person is 5 dollars for 50 short sentences record.
                                                        3. The project will take about 10 mins only.

                                                        If you are interested please let me know sure.I will contact u.

                                                        A Good Opportunity For New Freelancers For taking 5 Star Review
                                                        after their completion of the project.

                                                        Thanks :"
Germany Post Deutsche Post,"Project Title: Germany Post Deutsche Post

                                                        I am looking for a freelancer to assist me with domestic mail
                                                        services for my business in Germany.

                                                        Postal Service Requirements:
                                                        - The project involves handling domestic mail within Germany.
                                                        - Standard practices for domestic mail delivery are sufficient,
                                                        and there are no specific postal regulations or requirements
                                                        that need to be adhered to.

                                                        Insurance and Tracking:
                                                        - I require tracking for my shipments

                                                        Ideal Skills and Experience:
                                                        - Experience with domestic mail services in Germany.
                                                        - Knowledge of standard practices for domestic mail delivery.
                                                        - Proficiency in tracking systems and technologies.

                                                        If you have the necessary skills and experience in domestic mail
                                                        services within Germany, and are familiar with tracking systems,
                                                        I wou..."
"[Denmark, Augustenborg] Hiring urine specimen collector for
                                                            pre-employment drug testing","We are part of a worldwide network providing drug testing
                                                        services. We have a presence in multiple countries.

                                                        Our client wants us to conduct drug testing in
                                                        Østerkobbel 446440 Augustenborg, Denmark. We will train
                                                        you on how to do it and provide the necessary supplies and
                                                        tools. You will have to either go to the client's residence
                                                        or office to collect the provided urine sample or rent a meeting
                                                        room to host the session. Meeting room rental costs will be
                                                        borne by us. Thereafter I will guide you on how to perform the
                                                        testing hygienically and you will send us the result. We will
                                                        compensate you for every test done."
"Confirmis Site Verifier (Dordrecht, Netherland)","Confirmis () is a Singapore-based business information provider
                                                        specializing in connecting businesses with global capabilities;
                                                        comprised of industry veterans, Confirmis business model is
                                                        designed to overcome perennial lack of data (let alone quality
                                                        data) to support effective decision making, particularly in
                                                        developing economies.

                                                        As a Site Verifier, you will be responsible for verifying a
                                                        company’s existence through visual data by conducting a
                                                        site visit to ensure that we provide reliable and accurate
                                                        information to our client.

                                                        JOB DESCRIPTION:
                                                        • Conduct basic verification with the subject
                                                        company’s authorized representative, such as line of
                                                        business, key executives' name, etc.
                                                        • Take pictures of the subject company and its vicinity, as
                                                        per Confirmis&rsq..."
"Videographer in Florence, Italy October 17-19","Videographer for Travel Documentary in Florence, Italy October
                                                        17-19

                                                        - Looking for a skilled videographer to capture the essence of
                                                        an educational trip to Florence, Italy
                                                        - The project involves creating a travel documentary
                                                        - Post-production editing services may be required, but the
                                                        client has a contracted video editor
                                                        - Open to recommendations for the style and tone of the video
                                                        - Ideal candidate should have experience in travel videography
                                                        and storytelling
                                                        - Must be available in Florence, Italy on October 17-19 to
                                                        capture footage"
"[Singapore] Hiring urine specimen collector for
                                                            pre-employment drug testing. -- 2","We are part of a worldwide network providing drug testing
                                                        services. We have a presence in multiple countries.

                                                        Our client wants us to conduct drug testing around Singapore. We
                                                        will train you on how to do it and provide the necessary
                                                        supplies and tools. You will have to either go to the
                                                        client's residence or office to collect the provided urine
                                                        sample or rent a meeting room to host the session. Meeting room
                                                        rental costs will be borne by us. Thereafter I will guide you on
                                                        how to perform the testing hygienically and you will send us the
                                                        result. We will compensate you for every test done."
"pre employment vetting [Sandnessjøen, Norway] -- 5","Pre Employment Vetting Services in Sandnessjøen, Norway

                                                        - Background checks: We are looking for a professional who can
                                                        conduct thorough background checks on potential employees.
                                                        - Local services: We prefer someone who is familiar with the
                                                        local regulations and practices in Sandnessjøen, Norway.
                                                        - Urgent completion: We need the vetting process to be completed
                                                        within 2 days.

                                                        Ideal Skills and Experience:

                                                        - Experience in conducting background checks, preferably in a
                                                        pre-employment setting.
                                                        - Knowledge of local regulations and practices in
                                                        Sandnessjøen, Norway.
                                                        - Attention to detail and ability to gather accurate
                                                        information.
                                                        - Ability to deliver results within a short timeframe."
"Pre employment vetting [ Somerville, Massachusetts - United
                                                            States ]","Project Title: Pre employment vetting [ Somerville,
                                                        Massachusetts - United States ]

                                                        I am looking for a freelancer who can assist me with employment
                                                        verification for a single candidate in less than a week.

                                                        Specific Requirements:
                                                        - Conduct thorough employment verification for a single
                                                        candidate
                                                        - Verify the candidate's employment history and job
                                                        responsibilities
                                                        - Validate the candidate's educational qualifications
                                                        - Contact previous employers for reference checks

                                                        Ideal Skills and Experience:
                                                        - Experience in conducting employment verification and reference
                                                        checks
                                                        - Familiarity with the legal and ethical requirements of
                                                        pre-employment vetting
                                                        - Strong attention to detail and accuracy in verifying
                                                        information
                                                        - Excellent communication skills for contacting previous e..."
"Pre-Employment Vetting [Almaty, Kazakhstan]","Pre-Employment Vetting Project

                                                        I am seeking a freelancer who can assist me with pre-employment
                                                        vetting in Almaty, Kazakhstan. The ideal candidate for this
                                                        project will have experience in conducting background checks for
                                                        potential employees.

                                                        Screening Requirements:

                                                        - Standard level of screening is required for potential
                                                        employees

                                                        Additional Background Checks:

                                                        - Education and Employment Verification checks are required

                                                        Urgency:

                                                        - The vetting process should be completed within 2-3 days

                                                        Skills and Experience:

                                                        - Experience in conducting background checks for potential
                                                        employees

                                                        - Strong attention to detail and accuracy in conducting
                                                        background checks

                                                        Anyone from any educational background can apply."
pre employment vetting [Ain El Hadid algeria],"Title: Pre-Employment Vetting Services in Ain El Hadid, Algeria

                                                        I am in need of an experienced professional who can provide
                                                        comprehensive pre-employment vetting services in Ain El Hadid,
                                                        Algeria. The ideal candidate should possess the following skills
                                                        and experience:

                                                        Specific Vetting Services:
                                                        - Criminal background checks
                                                        - Reference checks
                                                        - Education verification

                                                        Timeframe:
                                                        - Completion of the vetting process within 2-3 days

                                                        Number of Individuals:
                                                        - Vetting services required for 1 individual

                                                        Skills and Experience:
                                                        - Proven track record of conducting thorough criminal background
                                                        checks
                                                        - Proficiency in verifying references and conducting education
                                                        verification
                                                        - Familiarity with the legal requirements and regulations for
                                                        pre-employment vetting in Algeria

                                                        If you h..."
"[Vietnam, Tuy Phuoc district, Binh Dinh] Hiring urine
                                                            specimen collector for pre-employment drug testing.","We are part of a worldwide network providing drug testing
                                                        services. We have a presence in multiple countries.

                                                        Our client wants us to conduct drug testing around Vietnam, Tuy
                                                        Phuoc district, Binh Dinh. We will train you on how to do it and
                                                        provide the necessary supplies and tools. You will have to
                                                        either go to the client's residence or office to collect
                                                        the provided urine sample or rent a meeting room to host the
                                                        session. Meeting room rental costs will be borne by us.
                                                        Thereafter I will guide you on how to perform the testing
                                                        hygienically and you will send us the result. We will compensate
                                                        you for every test done."
"Registro Aria, Navarra, España","I am looking for someone who personally goes to look for a
                                                        literal birth certificate at the Civil Registry of Aria,
                                                        Navarra, España with the data that I will provide because
                                                        online service is very late. Then after getting it, you´ll
                                                        send it by postal mail to an address in Madrid. The payment is
                                                        40 USD for this personal search service, but if you locate it
                                                        and get it, I will give you 20 USD more when you send it to me
                                                        to Madrid by a selected postal mail."
"Registro Algar, Cadiz, España","I am looking for someone who personally goes to look for a
                                                        literal birth certificate at the Civil Registry of Algar, Cadiz,
                                                        España with the data that I will provide because online
                                                        service is very late. Then after getting it, you´ll send
                                                        it by postal mail to an address in Madrid. The payment is 40 USD
                                                        for this personal search service, but if you locate it and get
                                                        it, I will give you 20 USD more when you send it to me to Madrid
                                                        by a selected postal mail."
"Woodbury, NJ | Location Scouting | (4765522326192128) -- 2","Premise is a global research company mapping life for
                                                        organizations working to improve your community. We pay people
                                                        in specific countries to download our app and report on their
                                                        daily life.

                                                        For this particular project, we are looking for a freelancer
                                                        from Woodbury, NJ, who can visit a specified location and
                                                        collect data on trucks, signs, cars, people, and any important
                                                        information that shows activity in the facility.

                                                        We will pay USD 50 for a successfully delivered/approved
                                                        assignment. Please send us a message for more details!"
